,tick,vx,vy
132,2623,0.0,-2.8988367262172687e-11
133,2640,0.0,-2.6259883156853903e-11
134,2656,0.0,-2.353424122247816e-11
135,2673,0.0,-2.11453965448527e-11
136,2690,0.0,-1.9094059666713292e-11
137,2707,0.0,-1.7050894030035123e-11
138,2724,0.0,-1.5347367821050286e-11
139,2741,0.0,-1.3989165381644852e-11
140,2758,0.0,-1.2613909916581179e-11
141,2775,0.0,-1.1256773291279387e-11
142,2792,0.0,-1.0240697179142444e-11
143,2809,0.0,-9.210410212290299e-12
144,2826,0.0,-8.185807587324234e-12
145,2843,0.0,-7.501554932787258e-12
146,2860,0.0,-6.823341891504242e-12
147,2877,0.0,-6.138733965599386e-12
148,2894,0.0,-5.46087619568425e-12
149,2911,0.0,-4.776268269779394e-12
150,2928,0.0,-4.433786671143025e-12
151,2945,0.0,-4.090949801138777e-12
152,2962,0.0,-3.7481129311345285e-12
153,2979,0.0,-3.4074076893375605e-12
154,2996,0.0,-3.063860276597552e-12
155,3013,0.0,-2.7355895326763857e-12
156,3029,0.0,-2.3870683207860565e-12
157,3046,0.0,-2.0534685063466895e-12
158,3063,0.0,-1.7053025658242404e-12
159,3080,0.0,-1.3628209671878722e-12
160,3097,0.0,-1.3606893389805919e-12
161,3114,0.0,-1.3731238368563936e-12
162,3131,0.0,-1.3713474800169934e-12
163,3148,0.0,-1.3638867812915122e-12
164,3165,0.0,-1.3628209671878722e-12
165,3182,0.0,-1.3663736808666727e-12
166,3199,0.0,-1.3695711231775931e-12
167,3216,0.0,-1.3731238368563936e-12
168,3233,0.0,-1.3624656958199921e-12
169,3250,0.0,-1.3660184094987926e-12
170,3267,0.0,-1.3695711231775931e-12
171,3284,0.0,-1.3674394949703127e-12
172,3301,0.0,-1.3660184094987926e-12
173,3318,0.0,-1.3699263945454732e-12
174,3335,0.0,-1.3674394949703127e-12
175,3352,0.0,-1.3660184094987926e-12
176,3369,0.0,-1.3606893389805919e-12
177,3386,0.0,-1.3645973240272725e-12
178,3402,0.0,-1.3585577107733115e-12
179,3419,0.0,-1.3628209671878722e-12
180,3436,0.0,-1.3660184094987926e-12
181,3453,0.0,-1.3667289522345527e-12
182,3470,0.0,-1.3631762385557522e-12
183,3487,0.0,-1.3635315099236323e-12
184,3504,0.0,-1.3624656958199921e-12
185,3521,0.0,-1.3606893389805919e-12
186,3538,0.0,-1.3663736808666727e-12
187,3555,0.0,-1.3674394949703127e-12
188,3571,0.0,-1.3677947663381929e-12
189,3588,0.0,-1.3649525953951524e-12
190,3605,0.0,-1.3653078667630325e-12
191,3622,0.0,-1.3660184094987926e-12
192,3639,0.0,-1.3642420526593924e-12
193,3656,0.0,-1.3642420526593924e-12
194,3673,0.0,-1.3642420526593924e-12
195,3690,0.0,-1.3624656958199921e-12
196,3707,0.0,-1.3653078667630325e-12
197,3724,0.0,-1.3638867812915122e-12
198,3741,0.0,-1.3624656958199921e-12
199,3758,0.0,-1.3635315099236323e-12
200,3775,0.0,-1.3642420526593924e-12
201,3792,0.0,-1.3642420526593924e-12
202,3809,0.0,-1.3642420526593924e-12
203,3825,0.0,-1.3642420526593924e-12
204,3842,0.0,-1.3642420526593924e-12
205,3859,0.0,-1.3642420526593924e-12
206,3876,0.0,-1.3642420526593924e-12
207,3893,0.0,-1.3642420526593924e-12
208,3910,0.0,-1.3624656958199921e-12
209,3927,0.0,-1.3653078667630325e-12
210,3944,0.0,-1.3667289522345527e-12
211,3961,0.0,-1.3642420526593924e-12
212,3979,0.0,-1.3642420526593924e-12
213,3995,0.0,-1.3642420526593924e-12
214,4012,0.0,-1.3642420526593924e-12
215,4029,0.0,-1.3642420526593924e-12
216,4047,0.0,-1.3642420526593924e-12
217,4064,0.0,-1.3642420526593924e-12
218,4081,0.0,-1.3642420526593924e-12
219,4097,0.0,-1.3642420526593924e-12
220,4114,0.0,-1.3642420526593924e-12
221,4131,0.0,-1.3642420526593924e-12
222,4148,0.0,-1.3642420526593924e-12
223,4165,0.0,-1.3642420526593924e-12
224,4182,0.0,-1.3642420526593924e-12
225,4200,0.0,-1.3642420526593924e-12
226,4216,0.0,-1.3642420526593924e-12
227,4234,0.0,-1.3642420526593924e-12
228,4250,0.0,-1.3624656958199921e-12
229,4269,0.0,-1.3653078667630325e-12
230,4284,0.0,-1.3638867812915122e-12
231,4301,0.0,-1.3624656958199921e-12
232,4318,0.0,-1.3628209671878722e-12
233,4335,0.0,-1.3631762385557522e-12
234,4352,0.0,-1.3653078667630325e-12
235,4370,0.0,-1.3638867812915122e-12
236,4387,0.0,-1.3645973240272725e-12
237,4404,0.0,-1.3642420526593924e-12
238,4421,0.0,-1.3649525953951524e-12
239,4438,0.0,-1.3642420526593924e-12
240,4455,0.0,-1.3642420526593924e-12
241,4472,0.0,-1.3642420526593924e-12
242,4489,0.0,-1.3642420526593924e-12
243,4506,0.0,-1.3642420526593924e-12
244,4523,0.0,-1.3624656958199921e-12
245,4541,0.0,-1.3624656958199921e-12
246,4557,0.0,-1.3624656958199921e-12
247,4574,0.0,-1.3653078667630325e-12
248,4591,0.0,-1.3667289522345527e-12
249,4608,0.0,-1.3642420526593924e-12
250,4625,0.0,-1.3642420526593924e-12
251,4642,0.0,-1.3642420526593924e-12
252,4659,0.0,-1.3642420526593924e-12
253,4676,0.0,-1.3642420526593924e-12
254,4693,0.0,-1.3642420526593924e-12
255,4710,0.0,-1.3642420526593924e-12
256,4800,0.0,-1.3642420526593924e-12
