,tick,vx,vy
295,5590,256.4053081964114,17.902607769906005
296,5607,268.7408934356743,15.925886480522385
297,5624,280.7090250373259,12.181928365474196
298,5641,292.1436442403045,6.485623925899038
299,5658,302.8409590591706,-1.3106815156927132
300,5675,312.5624848837357,-11.301838818171918
301,5692,321.04247456317347,-23.51223648357542
302,5709,328.00079586769624,-37.87764033229494
303,5726,333.16168838079676,-54.229569583751754
304,5743,336.277608434654,-72.28628720905077
305,5760,337.1556618967531,-91.65472015624648
306,5777,335.68241332810834,-111.8464362436582
307,5794,331.8419495810213,-132.3079842210957
308,5811,325.72272765536945,-152.46208287963444
309,5828,317.51111675018166,-171.752770764055
310,5845,307.4728997858199,-189.68627307927437
311,5862,285.9269543511996,-205.86071215634055
312,5879,267.3203866646882,-214.7821414369916
313,5896,248.79955902426866,-221.08810315427013
314,5913,230.61596040159878,-224.909898688613
315,5930,220.57157746787686,-219.20160002009942
316,5947,210.57551687955765,-212.49105574225408
317,5963,201.0385747750272,-204.61053041443253
318,5980,192.15752058432392,-195.6115338995476
319,5997,183.95671270373032,-185.66184939025686
320,6014,176.34071596819408,-174.97184020202914
321,6031,169.14660575695558,-163.74893612392356
322,6048,162.18734694480418,-152.1749174671083
323,6065,155.28242550785222,-140.39867118521698
324,6082,148.27608374359826,-128.53757445650882
325,6099,141.04579807264437,-116.68248454732833
326,6116,133.50419974610702,-104.90332781805435
327,6133,125.59717986140875,-93.25385852966237
328,6150,117.30009900350484,-81.77515684243531
329,6167,108.61324211590923,-70.49796025183919
330,6184,99.55708929307686,-59.44413898894931
331,6201,90.16763491318125,-48.62766987652132
332,6218,80.49183494387263,-38.05542161808515
333,6235,70.58323017688859,-27.727985032156784
334,6252,60.49782085260738,-17.64068904746457
335,6269,50.290308732374285,-7.784851922392154
336,6286,40.01084592266354,1.8507619425528472
337,6303,29.702421845130946,11.27836730258522
338,6320,19.39898100568888,20.509584737896496
339,6337,9.124304917305146,29.553992240983245
340,6354,-1.1083734813862522,38.41790654846015
341,6371,-11.296111151346299,47.10346530564917
342,6388,-21.44547875236357,55.60804174918609
343,6405,-31.571410407443878,63.92398681657347
344,6422,-41.695819751547575,72.0386650249428
345,6439,-51.84610479500013,79.93473246380185
346,6456,-62.05363831705021,87.59059741773235
347,6473,-72.35231271437264,94.98100431374621
348,6490,-82.77718292856989,102.07768702599321
349,6507,-93.36323084458168,108.85004537157074
350,6524,-104.14426028681017,115.26580684075779
351,6541,-116.37987498780276,120.31188504477011
352,6558,-129.0305122525974,124.83967056557806
353,6575,-142.18852142206427,128.7851611629979
354,6592,-155.90878040853534,132.10531240692538
355,6609,-170.21407274047343,134.77615364795903
356,6626,-185.097308410377,136.79206911472517
357,6643,-200.52335096720157,138.16468636731983
358,6660,-216.43177726279418,138.92064936127673
359,6677,-232.7410786270602,139.09807560233705
360,6694,-249.3542730499952,138.74184670238517
361,6710,-266.1654969776721,137.89812981482788
362,6727,-283.06688424441154,136.60866580470918
363,6744,-302.7250685540119,130.292273930472
364,6761,-321.40241584146486,123.12357653336475
365,6778,-339.31499886482374,115.15459454626313
366,6795,-356.22701958266117,106.85769593757428
367,6812,-371.8305563559863,98.7915006542617
368,6829,-385.9031192134813,91.42232261627903
369,6846,-398.36291000669866,85.0326143041694
370,6863,-409.26206041643104,79.69648848616048
371,6880,-417.2065528518251,79.3853558975162
372,6897,-424.32957313456586,80.02469048851407
373,6914,-431.043969875807,80.66792742769063
374,6931,-437.59104482692555,80.5920196415006
375,6948,-444.0814881746077,79.21060111836046
376,6965,-450.5170188731158,76.02637770596928
377,6982,-456.8020481246339,70.60516591592751
378,6998,-457.84545483804385,81.47479314237937
379,7015,-461.92834115722076,74.36712860642432
380,7032,-465.8846920328834,51.78340995790343
381,7049,-466.68406051416815,17.120736855418933
382,7066,-462.0615778935449,-24.931531578598836
383,7083,-451.1883303422451,-68.89699840107889
384,7100,-434.85700812353923,-109.71538975536288
385,7117,-414.97234489217806,-143.8942519029482
386,7134,-393.6938978507351,-169.9245394239964
387,7151,-372.76139604217286,-187.92131046061934
388,7168,-353.2363324601363,-198.93505655384257
389,7185,-335.5624424461577,-204.34703137251984
390,7202,-319.75321025899774,-205.50080448783166
391,7219,-305.5777186684067,-203.54011228666243
392,7236,-292.6970490862009,-199.37180521430207
393,7253,-280.74916341720757,-193.68724029563913
394,7270,-269.39561424099844,-187.00277919940206
395,7287,-258.34425333787624,-179.70056241399348
396,7304,-247.35843001493328,-172.0624072081393
397,7321,-236.2592386870634,-164.29530687102053
398,7338,-224.92439967815375,-156.54934029784025
399,7355,-213.28540619378134,-148.92957440252073
400,7371,-201.32342253337424,-141.50366934176506
401,7388,-187.4031948173321,-135.35958013487425
402,7405,-173.89784923076027,-128.97589765628325
403,7422,-160.77867804824425,-122.36171275738683
404,7439,-148.0302247160133,-115.52322912535953
405,7456,-135.6450251734107,-108.46473536609473
406,7473,-123.62030297722245,-101.18928838585406
407,7490,-111.95558594856914,-93.69934642847515
408,7507,-100.65080110502323,-85.99742411598649
409,7524,-89.70468684801591,-78.08675979692448
410,7541,-79.11347438470028,-69.97196160654278
411,7558,-68.86983465833518,-61.659594614466556
412,7575,-58.96209859536855,-53.15867631528101
413,7592,-49.37375407455935,-44.481056821857464
414,7609,-40.083211840414435,-35.641670825023
415,7626,-31.063820148649373,-26.658658861507853
416,7643,-22.284097595533606,-17.553364366523084
417,7660,-13.708147100482588,-8.350219549588466
418,7677,-5.296211892858033,0.9234630071816399
419,7694,2.9946638049681615,10.237774847903655
420,7711,11.209901888989059,19.56055488825096
421,7728,19.396611226412805,28.857776319844096
